Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
5353.0,4261957.168579102,7.0,0.0,1923.0,0.0,473.0,100.0,274.7142857142857,137.49152107438096,0.0,0.0,0.0,0.0,451.20115569840675,1.642437904258371,710326.1947631836,648217.4378174278,2004884.4814300537,52479.74395751953,4261957.168579102,710326.1947631836,648217.4378174278,2004884.4814300537,52479.74395751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1.642437904258371,0.0,100.0,473.0,274.7142857142857,137.49152107438096,18903.91836734694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7142857142857,274.7142857142857,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1923.0,0.0,0.0,0.0,0.0,7.0,20.0,2257072.687149048,0.0,2257072.687149048,2257072.687149048,2004884.4814300537,0.0,2004884.4814300537,2004884.4814300537
8000.0,204082.96585083008,6.0,7.0,433.0,3655.0,139.0,54.0,72.16666666666667,30.16850823108244,1514.0,54.0,522.1428571428571,631.2455778790348,20031.06914365422,63.699583871698835,17006.913820902508,25618.790834092037,85710.52551269531,0.0,184029.10232543945,36805.82046508789,32323.767761986426,91758.25119018555,0.0,204082.96585083008,34013.827641805015,63397.422221469664,174291.37229919434,0.0,1.0,2.0,0.0,0.0,132.0,152.0,29.39980794078408,34.299775930914755,54.0,1514.0,314.46153846153845,515.0742463858398,265301.47928994085,2.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,1.1666666666666667,314.46153846153845,72.16666666666667,522.1428571428571,132.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,433.0,7.0,3655.0,65535.0,65535.0,3.0,20.0,204082.96585083008,0.0,204082.96585083008,204082.96585083008,0.0,0.0,0.0,0.0
8000.0,203076.12419128418,7.0,7.0,475.0,3655.0,139.0,54.0,67.85714285714286,29.337584725928284,1514.0,54.0,522.1428571428571,631.2455778790348,20337.201216770394,68.93966514159455,15621.240322406475,22739.86652947918,68040.37094116211,0.0,203076.12419128418,33846.02069854736,31727.982694299568,82981.34803771973,0.0,175054.78858947754,29175.798098246258,62773.701732144655,169513.94081115723,0.0,1.0,2.0,0.0,0.0,152.0,152.0,34.46983257079727,34.46983257079727,54.0,1514.0,295.0,501.258131391117,251259.7142857143,2.0,2.0,1.0,3.0,13.0,0.0,0.0,0.0,1.0,295.0,67.85714285714286,522.1428571428571,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,203076.12419128418,0.0,203076.12419128418,203076.12419128418,0.0,0.0,0.0,0.0
8000.0,232967.13829040527,7.0,7.0,475.0,3655.0,139.0,54.0,67.85714285714286,29.337584725928284,1514.0,54.0,522.1428571428571,631.2455778790348,17727.82217400871,60.09431245426681,17920.549099261945,23162.1830067385,72075.36697387695,0.0,232967.13829040527,38827.856381734215,31176.676126972634,78946.35200500488,0.0,205214.262008667,34202.377001444496,57564.445990890505,160173.89297485352,0.0,1.0,2.0,0.0,0.0,152.0,152.0,30.047156227133407,30.047156227133407,54.0,1514.0,295.0,501.258131391117,251259.7142857143,2.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,295.0,67.85714285714286,522.1428571428571,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,232967.13829040527,0.0,232967.13829040527,232967.13829040527,0.0,0.0,0.0,0.0
8000.0,255270.00427246094,7.0,7.0,475.0,3655.0,139.0,54.0,67.85714285714286,29.337584725928284,1514.0,54.0,522.1428571428571,631.2455778790348,16178.947509993648,54.843889864385254,19636.154174804688,23165.351592324074,64148.4260559082,0.0,255270.00427246094,42545.00071207682,32205.694989462456,86873.29292297363,0.0,216780.9009552002,36130.150159200035,56522.559058455096,156742.09594726562,0.0,1.0,2.0,0.0,0.0,152.0,152.0,27.421944932192627,27.421944932192627,54.0,1514.0,295.0,501.258131391117,251259.7142857143,2.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,295.0,67.85714285714286,522.1428571428571,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,255270.00427246094,0.0,255270.00427246094,255270.00427246094,0.0,0.0,0.0,0.0
8000.0,245228.29055786133,6.0,7.0,421.0,3655.0,139.0,54.0,70.16666666666667,31.093496997854,1514.0,54.0,522.1428571428571,631.2455778790348,16621.247045875698,53.01182816398039,20435.690879821777,22757.832658754924,65775.39443969727,0.0,245228.29055786133,49045.658111572266,31858.73291650413,85246.32453918457,0.0,204519.74868774414,34086.62478129069,57202.59940604636,156742.09594726562,0.0,1.0,2.0,0.0,0.0,132.0,152.0,24.466997614144795,28.544830549835595,54.0,1514.0,313.53846153846155,515.5346165180398,265775.94082840235,2.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,1.1666666666666667,313.53846153846155,70.16666666666667,522.1428571428571,132.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,421.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,245228.29055786133,0.0,245228.29055786133,245228.29055786133,0.0,0.0,0.0,0.0
8000.0,270686.6264343262,7.0,7.0,475.0,3655.0,139.0,54.0,67.85714285714286,29.337584725928284,1514.0,54.0,522.1428571428571,631.2455778790348,15257.49555640503,51.72032392001705,20822.04818725586,24576.684228403414,65028.90586853027,0.0,270686.6264343262,45114.43773905436,39123.85037950108,95707.89337158203,0.0,223378.41987609863,37229.73664601644,57861.87774817316,155457.9734802246,0.0,1.0,2.0,0.0,0.0,152.0,152.0,25.860161960008526,25.860161960008526,54.0,1514.0,295.0,501.258131391117,251259.7142857143,2.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,295.0,67.85714285714286,522.1428571428571,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,270686.6264343262,0.0,270686.6264343262,270686.6264343262,0.0,0.0,0.0,0.0
8000.0,282312.39318847656,6.0,7.0,421.0,3655.0,139.0,54.0,70.16666666666667,31.093496997854,1514.0,54.0,522.1428571428571,631.2455778790348,14437.906724409342,46.048279543013116,23526.03276570638,26433.30653884583,75842.85736083984,0.0,282312.39318847656,56462.47863769531,40430.8561526237,113929.03327941895,0.0,229816.67518615723,38302.77919769287,58676.31297033673,153973.81782531738,0.0,1.0,2.0,0.0,0.0,132.0,152.0,21.253052096775285,24.79522744623783,54.0,1514.0,313.53846153846155,515.5346165180398,265775.94082840235,2.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,1.1666666666666667,313.53846153846155,70.16666666666667,522.1428571428571,132.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,421.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,282312.39318847656,0.0,282312.39318847656,282312.39318847656,0.0,0.0,0.0,0.0
8000.0,225250.244140625,7.0,7.0,475.0,3655.0,139.0,54.0,67.85714285714286,29.337584725928284,1514.0,54.0,522.1428571428571,631.2455778790348,18335.163257011245,62.153095786478794,17326.941856971152,20095.506254235108,61776.87644958496,0.0,225250.244140625,37541.707356770836,25620.081043274135,75264.45388793945,5690.813064575195,184716.22467041016,30786.03744506836,55314.00270554085,151453.25660705566,0.0,1.0,2.0,0.0,0.0,152.0,152.0,31.076547893239397,31.076547893239397,54.0,1514.0,295.0,501.258131391117,251259.7142857143,2.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,295.0,67.85714285714286,522.1428571428571,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,225250.244140625,0.0,225250.244140625,225250.244140625,0.0,0.0,0.0,0.0
8000.0,247553.11012268066,6.0,7.0,421.0,3655.0,139.0,54.0,70.16666666666667,31.093496997854,1514.0,54.0,522.1428571428571,631.2455778790348,16465.153671388107,52.51398374093361,20629.42584355672,21971.04535482741,64148.4260559082,0.0,247553.11012268066,49510.62202453613,29613.21013208203,79156.39877319336,5051.612854003906,199230.90934753418,33205.15155792236,55685.57637659989,151453.25660705566,0.0,1.0,2.0,0.0,0.0,132.0,152.0,24.237223265046282,28.27676047588733,54.0,1514.0,313.53846153846155,515.5346165180398,265775.94082840235,2.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,1.1666666666666667,313.53846153846155,70.16666666666667,522.1428571428571,132.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,421.0,7.0,3655.0,65535.0,65535.0,1.0,20.0,247553.11012268066,0.0,247553.11012268066,247553.11012268066,0.0,0.0,0.0,0.0
